id,name,position,team,adpStandard,adpHalfPpr,adpPpr
ja-marr-chase,Ja'Marr Chase,WR,CIN,1.0,1.0,1.0
bijan-robinson,Bijan Robinson,RB,ATL,2.0,2.0,2.0
saquon-barkley,Saquon Barkley,RB,PHI,3.0,3.0,3.0
jahmyr-gibbs,Jahmyr Gibbs,RB,DET,4.0,4.0,4.0
ceedee-lamb,CeeDee Lamb,WR,DAL,5.0,5.0,5.0
justin-jefferson,Justin Jefferson,WR,MIN,6.0,6.0,6.0
christian-mccaffrey,Christian McCaffrey,RB,SF,8.0,7.0,7.0
derrick-henry,Derrick Henry,RB,BAL,7.0,8.0,9.0
amon-ra-st-brown,Amon-Ra St. Brown,WR,DET,10.0,9.0,8.0
nico-collins,Nico Collins,WR,HOU,13.0,10.0,12.0
malik-nabers,Malik Nabers,WR,NYG,12.0,11.0,10.0
ashton-jeanty,Ashton Jeanty,RB,LV,9.0,12.0,11.0
josh-jacobs,Josh Jacobs,RB,GB,11.0,13.0,17.0
drake-london,Drake London,WR,ATL,15.0,14.0,15.0
puka-nacua,Puka Nacua,WR,LAR,16.0,15.0,13.0
brian-thomas-jr,Brian Thomas Jr.,WR,JAX,19.0,16.0,14.0
jonathan-taylor,Jonathan Taylor,RB,IND,14.0,17.0,19.0
bucky-irving,Bucky Irving,RB,TB,21.0,18.0,20.0
devon-achane,De'Von Achane,RB,MIA,17.0,19.0,16.0
a-j-brown,A.J. Brown,WR,PHI,18.0,20.0,18.0
chase-brown,Chase Brown,RB,CIN,23.0,21.0,21.0
josh-allen,Josh Allen,QB,BUF,20.0,22.0,23.0
brock-bowers,Brock Bowers,TE,LV,24.0,23.0,22.0
lamar-jackson,Lamar Jackson,QB,BAL,22.0,24.0,24.0
ladd-mcconkey,Ladd McConkey,WR,LAC,26.0,25.0,25.0
kyren-williams,Kyren Williams,RB,LAR,27.0,26.0,26.0
trey-mcbride,Trey McBride,TE,ARI,30.0,27.0,27.0
jayden-daniels,Jayden Daniels,QB,WAS,31.0,28.0,30.0
james-cook-iii,James Cook III,RB,BUF,25.0,29.0,28.0
omarion-hampton,Omarion Hampton,RB,LAC,29.0,30.0,36.0
tee-higgins,Tee Higgins,WR,CIN,28.0,31.0,29.0
george-kittle,George Kittle,TE,SF,33.0,32.0,35.0
jalen-hurts,Jalen Hurts,QB,PHI,32.0,33.0,34.0
mike-evans,Mike Evans,WR,SF,34.0,34.0,33.0
jaxon-smith-njigba,Jaxon Smith-Njigba,WR,SEA,37.0,35.0,31.0
terry-mclaurin,Terry McLaurin,WR,WAS,35.0,36.0,37.0
kenneth-walker-iii,Kenneth Walker III,RB,KC,36.0,37.0,42.0
marvin-harrison-jr,Marvin Harrison Jr.,WR,ARI,39.0,38.0,41.0
tyreek-hill,Tyreek Hill,WR,MIA,38.0,39.0,32.0
alvin-kamara,Alvin Kamara,RB,NO,41.0,40.0,38.0
joe-burrow,Joe Burrow,QB,CIN,40.0,41.0,40.0
chuba-hubbard,Chuba Hubbard,RB,CAR,44.0,42.0,48.0
garrett-wilson,Garrett Wilson,WR,NYJ,47.0,43.0,39.0
james-conner,James Conner,RB,ARI,42.0,44.0,46.0
treveyon-henderson,TreVeyon Henderson,RB,NE,43.0,45.0,44.0
davante-adams,Davante Adams,WR,LAR,46.0,46.0,45.0
breece-hall,Breece Hall,RB,NYJ,45.0,47.0,43.0
dk-metcalf,DK Metcalf,WR,PIT,48.0,48.0,47.0
