"id","name","position","team","consensusStandard","consensusHalfPpr","consensusPpr"
"bijan-robinson","Bijan Robinson","RB","ATL","1","1","3"
"jahmyr-gibbs","Jahmyr Gibbs","RB","DET","3","2","5"
"puka-nacua","Puka Nacua","WR","LAR","2","3","2"
"ja-marr-chase","Ja'Marr Chase","WR","CIN","4","4","1"
"jaxon-smith-njigba","Jaxon Smith-Njigba","WR","SEA","5","5","4"
"christian-mccaffrey","Christian McCaffrey","RB","SF","7","6","8"
"ceedee-lamb","CeeDee Lamb","WR","DAL","9","7","6"
"amon-ra-st-brown","Amon-Ra St. Brown","WR","DET","8","8","7"
"jonathan-taylor","Jonathan Taylor","RB","IND","6","9","10"
"james-cook-iii","James Cook III","RB","BUF","10","10","17"
"devon-achane","De'Von Achane","RB","MIA","14","11","14"
"drake-london","Drake London","WR","ATL","12","12","11"
"justin-jefferson","Justin Jefferson","WR","MIN","16","13","9"
"ashton-jeanty","Ashton Jeanty","RB","LV","19","14","22"
"malik-nabers","Malik Nabers","WR","NYG","11","15","12"
"omarion-hampton","Omarion Hampton","RB","LAC","20","16","23"
"trey-mcbride","Trey McBride","TE","ARI","25","17","18"
"nico-collins","Nico Collins","WR","HOU","13","18","13"
"consensus-jeremiyah-love-rb-fa","Jeremiyah Love","RB","FA","18","",""
"chase-brown","Chase Brown","RB","CIN","31","19","25"
"george-pickens","George Pickens","WR","DAL","17","20","15"
"brock-bowers","Brock Bowers","TE","LV","15","21","19"
"saquon-barkley","Saquon Barkley","RB","PHI","23","22","29"
"consensus-jeremiyah-love-rb-fa-2","Jeremiyah Love","RB","FA","","23",""
"chris-olave","Chris Olave","WR","NO","22","24","16"
"kenneth-walker-iii","Kenneth Walker III","RB","KC","30","25","32"
"josh-allen","Josh Allen","QB","BUF","24","26","24"
"rashee-rice","Rashee Rice","WR","KC","29","27","21"
"a-j-brown","A.J. Brown","WR","PHI","28","28","20"
"derrick-henry","Derrick Henry","RB","BAL","21","29","41"
"josh-jacobs","Josh Jacobs","RB","GB","33","30","33"
"tee-higgins","Tee Higgins","WR","CIN","26","31","27"
"tetairoa-mcmillan","Tetairoa McMillan","WR","CAR","34","32","26"
"lamar-jackson","Lamar Jackson","QB","BAL","27","33","28"
"garrett-wilson","Garrett Wilson","WR","NYJ","38","34","30"
"bucky-irving","Bucky Irving","RB","TB","40","35","37"
"drake-maye","Drake Maye","QB","NE","32","36","31"
"consensus-jeremiyah-love-rb-fa-3","Jeremiyah Love","RB","FA","","","36"
"breece-hall","Breece Hall","RB","NYJ","39","37","42"
"davante-adams","Davante Adams","WR","LAR","35","38","39"
"kyren-williams","Kyren Williams","RB","LAR","41","39","49"
"colston-loveland","Colston Loveland","TE","CHI","46","40","47"
"javonte-williams","Javonte Williams","RB","DAL","44","41","50"
"zay-flowers","Zay Flowers","WR","BAL","42","42","35"
"joe-burrow","Joe Burrow","QB","CIN","36","43","38"
"travis-etienne-jr","Travis Etienne Jr.","RB","NO","45","44","51"
"ladd-mcconkey","Ladd McConkey","WR","LAC","51","45","34"
"jameson-williams","Jameson Williams","WR","DET","43","46","46"
"consensus-carnell-tate-wr-fa","Carnell Tate","WR","FA","47","",""
"devonta-smith","DeVonta Smith","WR","PHI","55","47","40"
"terry-mclaurin","Terry McLaurin","WR","WAS","48","48","45"
"luther-burden-iii","Luther Burden III","WR","CHI","56","49","43"
"jaylen-waddle","Jaylen Waddle","WR","MIA","49","50","44"
"consensus-christian-watson-wr-gb","Christian Watson","WR","GB","50","",""
"treveyon-henderson","TreVeyon Henderson","RB","NE","54","51","59"
"mike-evans","Mike Evans","WR","SF","61","52","48"
"consensus-jordyn-tyson-wr-fa","Jordyn Tyson","WR","FA","53","",""
"cam-skattebo","Cam Skattebo","RB","NYG","60","53","58"
"consensus-christian-watson-wr-gb-2","Christian Watson","WR","GB","","54",""
"jayden-daniels","Jayden Daniels","QB","WAS","52","55","52"
"consensus-christian-watson-wr-gb-3","Christian Watson","WR","GB","","","55"
"emeka-egbuka","Emeka Egbuka","WR","TB","62","56","53"
"consensus-makai-lemon-wr-fa","Makai Lemon","WR","FA","57","",""
"quinshon-judkins","Quinshon Judkins","RB","CLE","59","57","63"
"d-andre-swift","D'Andre Swift","RB","CHI","63","58","67"
"jalen-hurts","Jalen Hurts","QB","PHI","58","59","57"
"rj-harvey","RJ Harvey","RB","DEN","66","60","60"
"courtland-sutton","Courtland Sutton","WR","DEN","70","61","54"
"consensus-harold-fannin-te-cle-3","Harold Fannin Jr.","TE","CLE","","","61"
"tucker-kraft","Tucker Kraft","TE","GB","37","62","70"
"david-montgomery","David Montgomery","RB","HOU","65","63","72"
"tyler-warren","Tyler Warren","TE","IND","68","64","56"
"rome-odunze","Rome Odunze","WR","CHI","64","65","62"
"jaylen-warren","Jaylen Warren","RB","PIT","71","66","71"
"consensus-harold-fannin-te-cle-2","Harold Fannin Jr.","TE","CLE","","67",""
"jaxson-dart","Jaxson Dart","QB","NYG","67","68","65"
"consensus-carnell-tate-wr-fa-2","Carnell Tate","WR","FA","","69",""
"bhayshul-tuten","Bhayshul Tuten","RB","JAX","69","70","84"
"dk-metcalf","DK Metcalf","WR","PIT","74","71","66"
"justin-herbert","Justin Herbert","QB","LAC","73","72","73"
"kyle-monangai","Kyle Monangai","RB","CHI","72","73","80"
"rhamondre-stevenson","Rhamondre Stevenson","RB","NE","82","74","86"
"rico-dowdle","Rico Dowdle","RB","PIT","80","75","78"
"caleb-williams","Caleb Williams","QB","CHI","78","76","75"
"consensus-harold-fannin-te-cle","Harold Fannin Jr.","TE","CLE","77","",""
"consensus-jordyn-tyson-wr-fa-2","Jordyn Tyson","WR","FA","","77",""
"trevor-lawrence","Trevor Lawrence","QB","JAX","81","78","79"
"marvin-harrison-jr","Marvin Harrison Jr.","WR","ARI","83","79","77"
"dj-moore","DJ Moore","WR","BUF","79","80","76"
"sam-laporta","Sam LaPorta","TE","DET","84","81","85"
"consensus-makai-lemon-wr-fa-2","Makai Lemon","WR","FA","","82",""
"michael-wilson","Michael Wilson","WR","ARI","86","83","81"
"chris-godwin","Chris Godwin","WR","TB","96","84","69"
"kyle-pitts-sr","Kyle Pitts Sr.","TE","ATL","87","85","87"
"brian-thomas-jr","Brian Thomas Jr.","WR","JAX","89","86","74"
"alec-pierce","Alec Pierce","WR","IND","75","87","88"
"blake-corum","Blake Corum","RB","LAR","76","88","93"
"dak-prescott","Dak Prescott","QB","DAL","88","89","90"
"ricky-pearsall","Ricky Pearsall","WR","SF","99","90","68"
"consensus-k-c-concepcion-wr-fa","K.C. Concepcion","WR","FA","91","",""
"jakobi-meyers","Jakobi Meyers","WR","JAX","108","91","64"
"tony-pollard","Tony Pollard","RB","TEN","85","92","89"
"brock-purdy","Brock Purdy","QB","SF","90","93","91"
"chuba-hubbard","Chuba Hubbard","RB","CAR","98","94","95"
"consensus-carnell-tate-wr-fa-3","Carnell Tate","WR","FA","","","94"
"michael-pittman-jr","Michael Pittman Jr.","WR","PIT","109","95","83"
"patrick-mahomes","Patrick Mahomes","QB","KC","95","96","96"
"dalton-kincaid","Dalton Kincaid","TE","BUF","92","97","100"
"wan-dale-robinson","Wan'Dale Robinson","WR","TEN","117","98","82"
"matthew-stafford","Matthew Stafford","QB","LAR","103","99","102"
"consensus-jordyn-tyson-wr-fa-3","Jordyn Tyson","WR","FA","","","99"
"tyler-allgeier","Tyler Allgeier","RB","ARI","94","100","119"
"consensus-jadarian-price-rb-fa","Jadarian Price","RB","FA","100","",""
"consensus-denzel-boston-wr-fa","Denzel Boston","WR","FA","101","",""
"consensus-oronde-gadsden-te-lac-2","Oronde Gadsden II","TE","LAC","","101",""
"jordan-addison","Jordan Addison","WR","MIN","97","102","97"
"stefon-diggs","Stefon Diggs","WR","NE","122","103","92"
"consensus-oronde-gadsden-te-lac-3","Oronde Gadsden II","TE","LAC","","","103"
"jacory-croskey-merritt","Jacory Croskey-Merritt","RB","WAS","93","104","127"
"consensus-oronde-gadsden-te-lac","Oronde Gadsden II","TE","LAC","104","",""
"aaron-jones-sr","Aaron Jones Sr.","RB","MIN","115","105","101"
"consensus-parker-washington-wr-jac-3","Parker Washington","WR","JAC","","","105"
"bo-nix","Bo Nix","QB","DEN","106","106","104"
"consensus-parker-washington-wr-jac-2","Parker Washington","WR","JAC","","107",""
"consensus-makai-lemon-wr-fa-3","Makai Lemon","WR","FA","","","107"
"j-k-dobbins","J.K. Dobbins","RB","DEN","105","108","125"
"jake-ferguson","Jake Ferguson","TE","DAL","118","109","106"
"quentin-johnston","Quentin Johnston","WR","LAC","107","110","110"
"consensus-parker-washington-wr-jac","Parker Washington","WR","JAC","110","",""
"james-conner","James Conner","RB","ARI","119","111","108"
"jared-goff","Jared Goff","QB","DET","114","112","112"
"jordan-love","Jordan Love","QB","GB","113","113","111"
"zach-charbonnet","Zach Charbonnet","RB","SEA","102","114","129"
