Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Bijan Robinson,RB1,RB,ATL,9999,24.1,No,RB1,9994
Jahmyr Gibbs,RB2,RB,DET,9995,24.0,No,RB2,9654
Ja'Marr Chase,WR1,WR,CIN,9978,26.0,No,WR1,9791
Jaxon Smith-Njigba,WR2,WR,SEA,9977,24.1,No,WR2,9777
Puka Nacua,WR3,WR,LAR,9726,24.8,No,WR3,9468
Malik Nabers,WR4,WR,NYG,8011,22.6,No,WR4,7746
Trey McBride,TE1,TE,ARI,7970,26.3,No,TE2,7588
Brock Bowers,TE2,TE,LVR,7962,23.2,No,TE1,7709
Amon-Ra St. Brown,WR5,WR,DET,7911,26.4,No,WR5,7659
CeeDee Lamb,WR6,WR,DAL,7905,26.9,No,WR7,7464
Ashton Jeanty,RB3,RB,LVR,7822,22.3,No,RB3,7385
Justin Jefferson,WR7,WR,MIN,7801,26.7,No,WR6,7562
Josh Allen,QB1,QB,BUF,7629,29.8,No,QB1,9999
Jeremiyah Love,RB4,RB,FA,7580,-1.0,Yes,RB4,7191
De'Von Achane,RB5,RB,MIA,7494,24.4,No,RB5,6880
Drake London,WR8,WR,ATL,7422,24.6,No,WR8,6913
Omarion Hampton,RB6,RB,LAC,7294,23.0,No,RB6,6634
Tetairoa McMillan,WR9,WR,CAR,7162,22.9,No,WR9,6656
2027 Early 1st,,PI,,7042,,,,6814
James Cook,RB7,RB,BUF,6888,26.5,No,RB8,6066
Jonathan Taylor,RB8,RB,IND,6819,27.1,No,RB7,6092
George Pickens,WR10,WR,DAL,6789,25.0,No,WR10,6126
Emeka Egbuka,WR11,WR,TBB,6772,23.4,No,WR11,6090
Drake Maye,QB2,QB,NEP,6727,23.5,No,QB2,9379
Colston Loveland,TE3,TE,CHI,6634,21.9,No,TE3,6019
Kenneth Walker III,RB9,RB,KCC,6609,25.4,No,RB9,5775
Garrett Wilson,WR12,WR,NYJ,6538,25.6,No,WR13,5861
2026 Early 1st,,PI,,6522,,,,5905
Nico Collins,WR13,WR,HOU,6506,27.0,No,WR12,5869
Chris Olave,WR14,WR,NOS,6405,25.7,No,WR14,5657
Tyler Warren,TE4,TE,IND,6349,23.8,No,TE4,5692
TreVeyon Henderson,RB10,RB,NEP,6332,23.4,No,RB10,5571
Quinshon Judkins,RB11,RB,CLE,6306,22.4,No,RB11,5459
Lamar Jackson,QB3,QB,BAL,6290,29.2,No,QB4,7671
Rome Odunze,WR15,WR,CHI,6288,23.8,No,WR15,5490
Jayden Daniels,QB4,QB,WAS,6274,25.2,No,QB5,7613
Luther Burden,WR16,WR,CHI,6250,22.2,No,WR16,5420
Breece Hall,RB12,RB,NYJ,6248,24.8,No,RB12,5358
Ladd McConkey,WR17,WR,LAC,6151,24.4,No,WR17,5323
Bucky Irving,RB13,RB,TBB,6141,23.6,No,RB13,5230
Carnell Tate,WR18,WR,FA,6087,-1.0,Yes,WR18,5254
Christian McCaffrey,RB14,RB,SFO,5911,29.8,No,RB14,5102
2027 Mid 1st,,PI,,5892,,,,5545
Marvin Harrison Jr.,WR19,WR,ARI,5746,23.6,No,WR19,5004
Makai Lemon,WR20,WR,FA,5731,-1.0,Yes,WR20,4994
Chase Brown,RB15,RB,CIN,5708,26.0,No,RB17,4896
Joe Burrow,QB5,QB,CIN,5702,29.2,No,QB6,7289
Kyren Williams,RB16,RB,LAR,5699,25.5,No,RB15,4929
Brian Thomas Jr.,WR21,WR,JAC,5696,23.4,No,WR21,4909
Rashee Rice,WR22,WR,KCC,5652,25.9,No,WR25,4826
Saquon Barkley,RB17,RB,PHI,5647,29.1,No,RB16,4918
Tee Higgins,WR23,WR,CIN,5612,27.2,No,WR22,4890
A.J. Brown,WR24,WR,PHI,5606,28.7,No,WR24,4843
Caleb Williams,QB6,QB,CHI,5570,24.3,No,QB3,7700
DeVonta Smith,WR25,WR,PHI,5570,27.3,No,WR23,4885
2028 Early 1st,,PI,,5567,,,,4996
Tucker Kraft,TE5,TE,GBP,5534,25.4,No,TE6,4813
Jordyn Tyson,WR26,WR,FA,5525,-1.0,Yes,WR27,4720
Jameson Williams,WR27,WR,DET,5514,25.0,No,WR26,4789
2026 Mid 1st,,PI,,5510,,,,4776
Harold Fannin,TE6,TE,CLE,5500,21.6,No,TE5,4850
Zay Flowers,WR28,WR,BAL,5499,25.5,No,WR28,4647
2027 Late 1st,,PI,,5498,,,,4800
Jaxson Dart,QB7,QB,NYG,5483,22.8,No,QB9,6640
Travis Etienne,RB18,RB,NOS,5482,27.1,No,RB18,4717
Jalen Hurts,QB8,QB,PHI,5475,27.6,No,QB10,6328
Javonte Williams,RB19,RB,DAL,5471,25.9,No,RB19,4558
Patrick Mahomes,QB9,QB,KCC,5457,30.5,No,QB8,6771
Jaylen Waddle,WR29,WR,MIA,5412,27.3,No,WR29,4595
Josh Jacobs,RB20,RB,GBP,5398,28.1,No,RB20,4542
Cam Skattebo,RB21,RB,NYG,5367,24.1,No,RB21,4479
Justin Herbert,QB10,QB,LAC,5350,28.0,No,QB7,6858
Sam LaPorta,TE7,TE,DET,5293,25.2,No,TE7,4537
Kyle Pitts,TE8,TE,ATL,5283,25.4,No,TE8,4444
2028 Mid 1st,,PI,,5236,,,,4486
